parent_code,calculation_month,snop_month,fc_kl
702082,2026-03-01,2026-04-01,5.0
702082,2026-03-01,2026-05-01,5.0
702082,2026-03-01,2026-06-01,7.0
702082,2026-03-01,2026-07-01,5.0
702082,2026-03-01,2026-08-01,5.0
702082,2026-02-01,2026-04-01,5.5
702082,2026-02-01,2026-05-01,6.0
702082,2026-02-01,2026-06-01,8.5
702082,2026-02-01,2026-07-01,6.0
702082,2026-02-01,2027-03-01,5.0
702082,2026-01-01,2026-04-01,5.5
702082,2026-01-01,2026-05-01,6.0
702082,2026-01-01,2026-06-01,8.5
702082,2026-01-01,2027-02-01,5.0
702082,2026-01-01,2027-03-01,5.0
702082,2025-12-01,2025-04-01,5.0
702082,2025-12-01,2025-05-01,6.0
702082,2025-12-01,2026-01-01,5.0
702082,2025-12-01,2026-02-01,5.0
702082,2025-12-01,2026-03-01,5.0
702082,2025-11-01,2025-04-01,5.0
702082,2025-11-01,2025-12-01,5.0
702082,2025-11-01,2026-01-01,5.0
702082,2025-11-01,2026-02-01,5.0
702082,2025-11-01,2026-03-01,5.0
702082,2025-10-01,2025-11-01,5.0
702082,2025-10-01,2025-12-01,5.0
702082,2025-10-01,2026-01-01,5.0
702082,2025-10-01,2026-02-01,5.0
702082,2025-10-01,2026-03-01,5.0
702082,2025-09-01,2025-10-01,5.0
702082,2025-09-01,2025-11-01,5.0
702082,2025-09-01,2025-12-01,5.0
702082,2025-09-01,2026-01-01,5.0
702082,2025-09-01,2026-02-01,5.0
702082,2025-08-01,2025-09-01,5.0
702082,2025-08-01,2025-10-01,5.0
702082,2025-08-01,2025-11-01,5.0
702082,2025-08-01,2025-12-01,5.0
702082,2025-08-01,2026-01-01,5.0
702082,2025-07-01,2025-08-01,5.0
702082,2025-07-01,2025-09-01,5.0
702082,2025-07-01,2025-10-01,5.0
702082,2025-07-01,2025-11-01,5.0
702082,2025-07-01,2025-12-01,5.0
702082,2025-06-01,2025-07-01,5.0
702082,2025-06-01,2025-08-01,5.0
