calculation_month,snop_month,parent_code,parent_description,qty,source
2025-04,2025-05,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-04,2025-06,702082,PCNO 20ml FT BOT NEW,6.0,tm
2025-05,2025-06,702082,PCNO 20ml FT BOT NEW,6.0,tm
2025-04,2025-07,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-05,2025-07,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-06,2025-07,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-04,2025-08,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-05,2025-08,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-06,2025-08,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-07,2025-08,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-04,2025-09,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-05,2025-09,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-06,2025-09,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-07,2025-09,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-08,2025-09,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-05,2025-10,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-06,2025-10,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-07,2025-10,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-08,2025-10,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-09,2025-10,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-06,2025-11,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-07,2025-11,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-08,2025-11,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-09,2025-11,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-10,2025-11,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-07,2025-12,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-08,2025-12,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-09,2025-12,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-10,2025-12,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-11,2025-12,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-08,2026-01,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-09,2026-01,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-10,2026-01,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-11,2026-01,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-12,2026-01,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-09,2026-02,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-10,2026-02,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-11,2026-02,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-12,2026-02,702082,PCNO 20ml FT BOT NEW,5.0,tm
2026-01,2026-02,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-10,2026-03,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-11,2026-03,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-12,2026-03,702082,PCNO 20ml FT BOT NEW,5.0,tm
2026-01,2026-03,702082,PCNO 20ml FT BOT NEW,5.0,tm
2026-02,2026-03,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-11,2026-04,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-12,2026-04,702082,PCNO 20ml FT BOT NEW,5.0,tm
2026-01,2026-04,702082,PCNO 20ml FT BOT NEW,5.5,tm
2026-02,2026-04,702082,PCNO 20ml FT BOT NEW,5.5,tm
2026-03,2026-04,702082,PCNO 20ml FT BOT NEW,3.912694,ml
2026-03,2026-04,702082,PCNO 20ml FT BOT NEW,5.0,tm
2025-12,2026-05,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-01,2026-05,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-02,2026-05,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-03,2026-05,702082,PCNO 20ml FT BOT NEW,3.912694,ml
2026-03,2026-05,702082,PCNO 20ml FT BOT NEW,5.0,tm
2026-04,2026-05,702082,PCNO 20ml FT BOT NEW,3.513943333,ml
2026-04,2026-05,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-01,2026-06,702082,PCNO 20ml FT BOT NEW,8.5,tm
2026-02,2026-06,702082,PCNO 20ml FT BOT NEW,8.5,tm
2026-03,2026-06,702082,PCNO 20ml FT BOT NEW,3.912694,ml
2026-03,2026-06,702082,PCNO 20ml FT BOT NEW,7.0,tm
2026-04,2026-06,702082,PCNO 20ml FT BOT NEW,3.513943333,ml
2026-04,2026-06,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-05,2026-06,702082,PCNO 20ml FT BOT NEW,3.513251333,ml
2026-05,2026-06,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-02,2026-07,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-03,2026-07,702082,PCNO 20ml FT BOT NEW,3.912694,ml
2026-03,2026-07,702082,PCNO 20ml FT BOT NEW,5.0,tm
2026-04,2026-07,702082,PCNO 20ml FT BOT NEW,3.513943333,ml
2026-04,2026-07,702082,PCNO 20ml FT BOT NEW,5.0,tm
2026-05,2026-07,702082,PCNO 20ml FT BOT NEW,3.513251333,ml
2026-05,2026-07,702082,PCNO 20ml FT BOT NEW,5.5,tm
2026-06,2026-07,702082,PCNO 20ml FT BOT NEW,3.843717333,ml
2026-06,2026-07,702082,PCNO 20ml FT BOT NEW,5.5,tm
2026-03,2026-08,702082,PCNO 20ml FT BOT NEW,3.912694,ml
2026-03,2026-08,702082,PCNO 20ml FT BOT NEW,5.0,tm
2026-04,2026-08,702082,PCNO 20ml FT BOT NEW,3.513943333,ml
2026-04,2026-08,702082,PCNO 20ml FT BOT NEW,5.0,tm
2026-05,2026-08,702082,PCNO 20ml FT BOT NEW,3.513251333,ml
2026-05,2026-08,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-06,2026-08,702082,PCNO 20ml FT BOT NEW,3.843717333,ml
2026-06,2026-08,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-07,2026-08,702082,PCNO 20ml FT BOT NEW,3.245373353,ml
2026-07,2026-08,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-04,2026-09,702082,PCNO 20ml FT BOT NEW,3.513943333,ml
2026-04,2026-09,702082,PCNO 20ml FT BOT NEW,8.0,tm
2026-05,2026-09,702082,PCNO 20ml FT BOT NEW,3.513251333,ml
2026-05,2026-09,702082,PCNO 20ml FT BOT NEW,7.5,tm
2026-06,2026-09,702082,PCNO 20ml FT BOT NEW,3.843717333,ml
2026-06,2026-09,702082,PCNO 20ml FT BOT NEW,7.5,tm
2026-07,2026-09,702082,PCNO 20ml FT BOT NEW,3.572119218,ml
2026-07,2026-09,702082,PCNO 20ml FT BOT NEW,7.5,tm
2026-05,2026-10,702082,PCNO 20ml FT BOT NEW,3.513251333,ml
2026-05,2026-10,702082,PCNO 20ml FT BOT NEW,5.5,tm
2026-06,2026-10,702082,PCNO 20ml FT BOT NEW,3.843717333,ml
2026-06,2026-10,702082,PCNO 20ml FT BOT NEW,5.5,tm
2026-07,2026-10,702082,PCNO 20ml FT BOT NEW,7.076034094,ml
2026-07,2026-10,702082,PCNO 20ml FT BOT NEW,5.5,tm
2026-06,2026-11,702082,PCNO 20ml FT BOT NEW,3.843717333,ml
2026-06,2026-11,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-07,2026-11,702082,PCNO 20ml FT BOT NEW,7.320800141,ml
2026-07,2026-11,702082,PCNO 20ml FT BOT NEW,6.0,tm
2026-07,2026-12,702082,PCNO 20ml FT BOT NEW,7.441367435,ml
2026-07,2026-12,702082,PCNO 20ml FT BOT NEW,7.5,tm
2025-04,2025-05,703584,PCNO ADV 300ml FT,0.000549667,ml
2025-04,2025-05,703584,PCNO ADV 300ml FT,2.992055925,tm
2025-04,2025-06,703584,PCNO ADV 300ml FT,0.000549667,ml
2025-04,2025-06,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-05,2025-06,703584,PCNO ADV 300ml FT,0.0,ml
2025-05,2025-06,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-04,2025-07,703584,PCNO ADV 300ml FT,0.000549667,ml
2025-04,2025-07,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-05,2025-07,703584,PCNO ADV 300ml FT,0.0,ml
2025-05,2025-07,703584,PCNO ADV 300ml FT,1.496027962,tm
